VENDOR_NAME,CHECK_NUMBER,CHECK_DATE,CHECK_AMOUNT,INVOICE_NUM,INVOICE_DESCRIPTION,DIST_AMOUNT,DISTDESCRIPTION,FUND,FUND_DESCRIPTION,COST_CENTER,COST_DESCRIPTION,ACCOUNT,ACCOUNT_DESCRIPTION,TYPE_OF_DISBUSEMENT
Miscellaneous Vendor,661752,05/06/2015,6.03,1373183613-2544089,PP 2013 75873,6.03,PP 2013 75873,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Miscellaneous Vendor,662863,05/12/2015,17.45,1435048714-2549932,PP 2014 93558,11.50,PP 2014 93558,100,General Fund,2510,Finance-City Wide Reven,42201,Automobile License Curr,CHECK
UNIVAR USA INC,132409,05/26/2015,58298.98,RI675391RE ENTER,ORDER# 399919,19209.68,TO PROVIDE SODIUM HYPOCHLORITE CHEMICAL TO THE WATER PLANT,808,Water Operating Fund,92001,Water Operations,76110,Utility Chemicals,EFT
Cargill Deicing Technology,660447,05/05/2015,18271.17,2902170873,DEICER SALT,5104.64,"1000 tons of Rock Salt to be delivered to the Hopkins Road location, 500 tons to the Parkerfield location and 500 tons to the Forest Hill location.",401,Special Revenue Fund,2939,DPW-Winter Storm Events,71181,Bulk Chemicals,CHECK
MARTIN  MARIETTA AGGREGATES,664039,05/18/2015,2818.49,15097659,cust# 471030,201.32,crushed stones aggregate base course,801,Gas Construction Fund,94002,Natural Gas Distribution and Construction,76120,Paving,CHECK
MARTIN  MARIETTA AGGREGATES,664039,05/18/2015,2818.49,15097659,cust# 471030,201.32,crushed stones aggregate base course,801,Gas Construction Fund,94002,Natural Gas Distribution and Construction,76120,Paving,CHECK
Miscellaneous Vendor,660995,05/06/2015,13.59,1338714413-2543837,PP 2013 247957,13.59,PP 2013 247957,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
QUALITY UNIFORM COMPANY INC,660505,05/05/2015,603.00,3424,0,371.00,MENS AND WOMENS NAVY CARGO PKT POLY/WOOL PANT,100,General Fund,4103,Police-Administration,71011,Uniforms & Safty Supplies-Employee,CHECK
Galls LLC,665160,05/27/2015,55.99,3452555,acct# 1000876006,28.99,Police Uniform Gear and equipment,100,General Fund,4103,Police-Administration,71011,Uniforms & Safty Supplies-Employee,CHECK
UNIFIRST CORP,664922,05/26/2015,482.42,288 1472858,CUST # 390355,28.05,Mat services at various libraries thru June 2015,100,General Fund,303,Library -Children And Fa,80006,Equipment And Other Assets Expense,CHECK
Miscellaneous Vendor,660952,05/06/2015,8.96,1331975213-2543312,PP 2013 42383,8.96,PP 2013 42383,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
RRHA,129114,05/07/2015,62022.62,4-471-15-1,EASTVIEW REVIALIZATION,815.67,RRHA Contract for Eastview Revitalization Program for FY2015,301,HUD Fund,5001,RRHA Project/Grants,76410,Program Administration,EFT
R AND R OFFICE SUPPLY,662236,05/08/2015,5884.85,0451986-001,ACCT# CRPA01-0,44.00,"Binder clips feature an efficient triangular design that offers a powerful grip, yet releases easily. Removable handle folds down to simplify filing and storage or keep one handle up for a convenient hanger. Each binder clip is made of rust",100,General Fund,4103,Police-Administration,71012,Office Supplies And Stationary,CHECK
Miscellaneous Vendor,660644,05/06/2015,8.16,1431499314-2544174,PP 2014 42593,8.16,PP 2014 42593,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Miscellaneous Vendor,660365,05/05/2015,89.91,657579-001497,DPUCIS: G LANGHORNE  04-MAY-15,89.91,DPUCIS: G LANGHORNE  04-MAY-15,812,Undistributed Fund,99001,DPU Administration,10301,Accounts Receivable,CHECK
MARTIN  MARIETTA AGGREGATES,662072,05/07/2015,1492.93,15054434,Cust # 471030,106.64,crushed stones aggregate base course,801,Gas Construction Fund,94002,Natural Gas Distribution and Construction,76120,Paving,CHECK
MARTIN  MARIETTA AGGREGATES,662072,05/07/2015,1492.93,15054434,Cust # 471030,106.64,crushed stones aggregate base course,801,Gas Construction Fund,94002,Natural Gas Distribution and Construction,76120,Paving,CHECK
MARTIN  MARIETTA AGGREGATES,662072,05/07/2015,1492.93,15054434,Cust # 471030,106.64,crushed stones aggregate base course,801,Gas Construction Fund,94002,Natural Gas Distribution and Construction,76120,Paving,CHECK
MARTIN  MARIETTA AGGREGATES,662072,05/07/2015,1492.93,15054434,Cust # 471030,106.64,crushed stones aggregate base course,801,Gas Construction Fund,94002,Natural Gas Distribution and Construction,76120,Paving,CHECK
SPIRIT CRUISES LLC,665001,05/26/2015,1512.14,2013109-24,Senior trip,675.12,Senior trip,1314,Senior Citizens Programs,0,Default,22104,Due To Various Agents,CHECK
Miscellaneous Vendor,663123,05/12/2015,20.51,1434201714-2549863,PP 2014 84270,20.51,PP 2014 84270,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
STANDARD PARKING CORPORATION,663804,05/15/2015,86132.62,98349-TS-03/2015(9),ACCT# 98349-TS,2255.71,"Parking costs for Main Street Station lots at 1500 E. Franklin, 1533, 1520 and 1519  E. Main",201,Grants Fund,2928,DPW-Main St Station,70412,Transportation Services,CHECK
DTC Communications,662224,05/08/2015,700.00,75247,CUT# 060498,-1.00,Tracking device minimum diagnostic  charge,100,General Fund,903,Auditor-Fiscal And Poli,70551,Security/Monitoring Services,CHECK
RICHMOND COMMERCIAL SERV INC,663752,05/14/2015,210.66,1007878,CUST# RIC 0009,69.52,Storage Cost for Jan through June 2015,807,Gas Operating Fund,99001,DPU Administration,70552,Contract And Temporary Personnel Services,CHECK
PLEASANTS HARDWARE INC,662234,05/08/2015,1389.92,254021/7,Cust# 60724,239.94,PVC RAINCOAT DETACH ORG REG MED,100,General Fund,3005,Parks&Rec-James River Par,71011,Uniforms & Safty Supplies-Employee,CHECK
TSRC INC,129450,05/11/2015,528.84,2288848-0,CUST # 6460000 DEPT # 2596,23.38,"ORGANIZER,CAROUSEL ORG,BK",100,General Fund,79033,Non Depart-311 Call Center,71012,Office Supplies And Stationary,EFT
Miscellaneous Vendor,661157,05/06/2015,6.43,1339993113-2543927,PP 2013 285625,6.43,PP 2013 285625,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Miscellaneous Vendor,660847,05/06/2015,7.97,1335787413-2543635,PP 2013 165685,7.97,PP 2013 165685,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Miscellaneous Vendor,661007,05/06/2015,15.41,1336957413-2543727,PP 2013 198588,15.41,PP 2013 198588,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
ROYS ELECTRIC MOTOR SERVICE,660499,05/05/2015,2450.00,105038,MANUFACTURE SHIPCO,1600.00,Bearing seal for JMC.,100,General Fund,2902,DPW-Gen Svcs-Facili,71162,Heating Supplies,CHECK
Miscellaneous Vendor,660968,05/06/2015,8.03,1434228814-2544256,PP 2014 84555,8.03,PP 2014 84555,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
EXCLUSIVE TEMPS,662079,05/07/2015,10000.04,47045,NANCY C.,-30.80,"Admin Assistant II -3 yrs,assemble reports,travel,meetings",100,General Fund,2725,Social Ser-East District I,70552,Contract And Temporary Personnel Services,CHECK
Monique Pugh,664488,05/20/2015,485.00,MP051815BE,CULTURAL ARTS FOR AFTER SCHOOL,485.00,Bellemeade:  recreation program support,401,Special Revenue Fund,3009,Parks&Rec Projects/Grants,70552,Contract And Temporary Personnel Services,CHECK
UNITED PARCEL SERVICES,664283,05/19/2015,17.08,00006E553V175,Shipper Number: 6E553V,17.08,UPS - shipping charges for Gas  Distribution,807,Gas Operating Fund,94002,Natural Gas Distribution and Construction,72112,Express Delivery Services,CHECK
ALLIED BARTON SECURITY SERVICE,664813,05/22/2015,76567.33,6064925,CUST # 87760,1208.45,Security Officer,100,General Fund,2901,DPW-Finance & Admin,70551,Security/Monitoring Services,CHECK
INFIAN LLC,664957,05/26/2015,26218.60,INV-1408-2015,Operating Supplies,266.00,Code Blue 6 speakerphone enclosure,100,General Fund,4103,Police-Administration,70215,Equipment Repair and Maint Services,CHECK
MILES AHEAD DISTRIBUTION INC,128891,05/06/2015,431.60,5115,SPRAY BOTTLES,2.50,Trigger Sprayer 9.25 in.,100,General Fund,3006,Parks&Rec-Cultural Arts,71131,Janitorial Supplies,EFT
Miscellaneous Vendor,661423,05/06/2015,13.40,1336558013-2543696,PP 2013 186878,13.40,PP 2013 186878,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
DIAMOND SPRINGS WATER,660061,05/01/2015,14.50,2655955,CUST 847900,4.75,5 Gallon Spring Water Refills and Equipment Rental,100,General Fund,4103,Police-Administration,70553,Food & Drink Services,CHECK
Miscellaneous Vendor,661089,05/06/2015,7.45,1336853313-2543722,PP 2013 195514,7.45,PP 2013 195514,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
ABSOLUTE PEST SOLUTIONS LLC,665007,05/26/2015,250.00,32542,PEST CONTROL,25.00,Exterminating services for all locations.  Reference PO 15000006471- Orginal Purchase order was closed out by Finance Dept.,100,General Fund,2902,DPW-Gen Svcs-Facili,70216,Pest Control Services,CHECK
DIAMOND SPRINGS WATER,663760,05/14/2015,1356.85,2670607,CUST# 12736900,2.38,Rental of water cooler's for Rm G7 in City Hall and B-29 in the Safety bldg.,100,General Fund,2902,DPW-Gen Svcs-Facili,71012,Office Supplies And Stationary,CHECK
BALL OFFICE PRODUCTS LLC,663742,05/14/2015,389.03,0370765-001,ACCT # CORWTP-0,17.55,"HOLDER,BADGE,VERT,PREPCH,12",808,Water Operating Fund,92001,Water Operations,76104,Utility Operating Supplies,CHECK
MEGA STAFFING SOLUTIONS INC,661843,05/06/2015,5291.04,300002860,Cust # 3022,5291.04,"Assists in the operation of asphalt pavers or chip spreaders; operates patch rollers and acts as a hot asphalt tracer and tamper in a paving crew; drives trucks in the performance of regular duties and assists in loading; transporting, and",100,General Fund,2904,DPW-Surface Cleanin,70552,Contract And Temporary Personnel Services,CHECK
R AND R OFFICE SUPPLY,662326,05/11/2015,7051.72,0460019-001,ACCT CRPA01-0,1.61,Use plastic clear tabs with Sparco or most other hanging file folders. Tabs are designed to easily slide into premade slots on the inside of hanging file folders. Tabs come with blank inserts for easy customization.,809,Waste Water Operating Fund,99001,DPU Administration,71012,Office Supplies And Stationary,CHECK
Miscellaneous Vendor,666158,05/29/2015,49.38,1440529714-2582370,PP 2014 307221,11.50,PP 2014 307221,100,General Fund,2510,Finance-City Wide Reven,42201,Automobile License Curr,CHECK
Miscellaneous Vendor,662963,05/12/2015,24.98,1434647714-2549904,PP 2014 89202,24.98,PP 2014 89202,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
B W WILSON PAPER CO,660062,05/01/2015,1577.70,1781011,CUST# 1190467,33.00,Perforated Pads,100,General Fund,4104,Police-Support Service,71012,Office Supplies And Stationary,CHECK
BRALEY AND THOMPSON RICHMOND,664481,05/20/2015,423.00,TH415,CASE # JTS 443298,235.00,Rescare - Electronic Monitoring (non-city) CSU Participants,100,General Fund,1511,Juv Justice-Specilized Svcs,70161,Management Services,CHECK
DIAMOND SPRINGS WATER,663760,05/14/2015,1356.85,508099350,CUST# 14679900,6.50,ACCOUNT 14679900 DIRECTOR - WATER/EQUIP RENTAL 2015,100,General Fund,2701,Social Ser-Administration,70553,Food & Drink Services,CHECK
Miscellaneous Vendor,663012,05/12/2015,5.44,1441246714-2550180,PP 2014 337889,5.44,PP 2014 337889,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
F3 Tactical Inc,130390,05/12/2015,107.87,23760,CUST # 1-755,12.88,Shipping Charges,100,General Fund,4103,Police-Administration,71011,Uniforms & Safty Supplies-Employee,EFT
MILES AHEAD DISTRIBUTION INC,127400,05/05/2015,37438.35,5178,Cleaning Supplies,208.50,Vintage Latex Powder Free Gloves XLG 100 ct.,100,General Fund,2902,DPW-Gen Svcs-Facili,71131,Janitorial Supplies,EFT
PENINSULA POLYGRAPH SERVICES,131020,05/15/2015,600.00,PPSL-3-15,POLYGRAM EXAM,600.00,Polygraph services for various DEC positions,100,General Fund,8701,Emergency Communication,70151,Information & Research Services,EFT
Government MLO Supplies USA INC,664909,05/26/2015,4375.00,RS1831,"Bar Soap, Embossed 2 ply tt sheet etc.",25.00,"Shipping
May 2015 order",100,General Fund,1604,Sheriff-Jail Operations,72112,Express Delivery Services,CHECK
MILES AHEAD DISTRIBUTION INC,127400,05/05/2015,37438.35,5175,Cleaning Supplies,264.75,Breeze Non-Acid Bowl Cleaner 4/1 gal.,100,General Fund,2902,DPW-Gen Svcs-Facili,71131,Janitorial Supplies,EFT
CAPITAL AREA PARTNERSHIP UPLIFTING PEOPLE,666407,05/29/2015,1150.00,424,RIVER CITY BLUES TRANSPORTATION 4/22/15,230.00,River City Blues / Transportation,301,HUD Fund,3610,Economic & Comm Dev Projects/Grants,70161,Management Services,CHECK
HILLS PET NUTRITION,663293,05/12/2015,914.56,223234732,ACCT # 698531,914.56,HILLS INVOICE 223234732,100,General Fund,8801,Animal Control,71112,Forage Supplies For Animals,CHECK
DIAMOND SPRINGS WATER,663992,05/18/2015,331.95,501094110,Cust # 3544001,16.25,Bottle Water - JMC #3544001,100,General Fund,1602,Sheriff-Courts,76651,Dietary Supplies,CHECK
R AND R OFFICE SUPPLY,662326,05/11/2015,7051.72,0455870-001,ACCT # CRPA01-0,7.04,Self-adhesive notes offer a quick and easy way to write and post reminders and notes. One side is lined with a strip of adhesive along the back. Notes remove easily and leave no surface damage so you can reposition again and again. Pad of n,100,General Fund,1302,Judiciary-Circuit Ct.I(Jm,71012,Office Supplies And Stationary,CHECK
PD BROOKS TRAFFIC CONTROL,664047,05/18/2015,4720.00,13810,CUST# C17551,500.00,Road Closed  48X30 sign,810,Storm Water Operating Fund,91002,Stormwater Maintenance,76104,Utility Operating Supplies,CHECK
CINTAS CORP. NO 2,132384,05/26/2015,823.24,143545080,Cust # 00141,337.29,WD Monthly Uniform Rental,808,Water Operating Fund,92002,Water Maintenance,71011,Uniforms & Safty Supplies-Employee,EFT
Miscellaneous Vendor,663032,05/12/2015,21.89,1434418414-2549884,PP 2014 86788,21.89,PP 2014 86788,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Miscellaneous Vendor,662797,05/12/2015,13.98,1430320414-2549594,PP 2014 10698,13.98,PP 2014 10698,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Miscellaneous Vendor,663504,05/13/2015,30.00,56343 -0515,Jury Payment for ROBIN L HENLEY  56343,30.00,Jury Payment for ROBIN L HENLEY  56343,100,General Fund,1302,Judiciary-Circuit Ct.I(Jm,70558,Jury Fees,CHECK
NSI SOLUTIONS INC,129444,05/11/2015,389.00,320230,CUST 21623,45.00,"QUOTE #WS-102/MS-135/QCS
WS- 102 PEI 141 - ORTHOPHOSPHATE",808,Water Operating Fund,92001,Water Operations,76104,Utility Operating Supplies,EFT
TSRC INC,133528,05/28/2015,215.72,2300208-0,CUST 6460000,2.48,"Ballpoint Pen,Refill.,Retractable,Medium Pt,Black Barrel/Ink",808,Water Operating Fund,99001,DPU Administration,71012,Office Supplies And Stationary,EFT
R AND R OFFICE SUPPLY,663289,05/12/2015,6120.42,0449897-001,ACCT# CRPA01-0,16.60,"G2 Retractable Gel Ink Rollerball Pen features water-resistant, smearproof gel ink for exceedingly smooth writing. Contoured latex-free rubber grip provides writing comfort. No cap to lose. Refillable.",100,General Fund,8701,Emergency Communication,71012,Office Supplies And Stationary,CHECK
GRAINGER INDUSTRIAL SUPPLY,660465,05/05/2015,6648.11,9715555703,ACCT 842860413,208.56,"3ZL49  Leather Drivers Gloves, Cowhide, XL, PR  Mfg Brand Name:  Condor  Mfr Part #3ZL49",100,General Fund,2914,DPW-Bridge Main,72154,Small Tools,CHECK
Miscellaneous Vendor,663340,05/13/2015,90.00,40104 -0515,Jury Payment for JOCELYN N MINES  40104,90.00,Jury Payment for JOCELYN N MINES  40104,100,General Fund,1302,Judiciary-Circuit Ct.I(Jm,70558,Jury Fees,CHECK
Miscellaneous Vendor,662835,05/12/2015,34.10,1435154014-2549939,PP 2014 94611,11.50,PP 2014 94611,100,General Fund,2510,Finance-City Wide Reven,42201,Automobile License Curr,CHECK
Miscellaneous Vendor,662505,05/12/2015,15.87,1432918914-2549783,PP 2014 67835,15.87,PP 2014 67835,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Miscellaneous Vendor,664270,05/19/2015,22.92,1260326312-2556775,PP 2012 160378,22.92,PP 2012 160378,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
CINTAS CORP. NO 2,132384,05/26/2015,823.24,143548622,Cust # 00141,229.29,WD Monthly Uniform Rental,808,Water Operating Fund,92002,Water Maintenance,71011,Uniforms & Safty Supplies-Employee,EFT
Miscellaneous Vendor,662537,05/12/2015,25.10,1431361814-2549666,PP 2014 39782,25.10,PP 2014 39782,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Miscellaneous Vendor,664439,05/20/2015,62.75,570243-001605,DPUCIS: XAVIER LOPEZ  19-MAY-15,62.75,DPUCIS: XAVIER LOPEZ  19-MAY-15,812,Undistributed Fund,99001,DPU Administration,10301,Accounts Receivable,CHECK
Miscellaneous Vendor,661824,05/06/2015,31.47,1240591512-2543120,VEH MOVED OUT OF STATE,31.47,VEH MOVED OUT OF STATE,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
HEROES APPAREL LLC,665006,05/26/2015,768.00,1602162,Cust ID # RICCIT,4.00,"Patches, sewn on (2)",100,General Fund,1604,Sheriff-Jail Operations,71011,Uniforms & Safty Supplies-Employee,CHECK
RIBBONS AND ROLLS  INC,663923,05/18/2015,2553.51,0443667-001,ACCT# CRPA01-0,-138.14,"Quote 7048 for G12 
CCS 20665 ANTI GLARE SCREENS",100,General Fund,504,PDR-Prop. Maint Cod,71012,Office Supplies And Stationary,CHECK
RIBBONS AND ROLLS  INC,663923,05/18/2015,2553.51,0443667-001,ACCT# CRPA01-0,-138.14,"Quote 7048 for G12 
CCS 20665 ANTI GLARE SCREENS",100,General Fund,504,PDR-Prop. Maint Cod,71012,Office Supplies And Stationary,CHECK
Miscellaneous Vendor,660989,05/06/2015,6.48,1340256913-2543941,PP 2013 293193,6.48,PP 2013 293193,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
R AND R OFFICE SUPPLY,662326,05/11/2015,7051.72,0454325-001,ACCT# CRPA01-0,33.57,AAGSK240015 - MONTHLY DESK PAD,100,General Fund,1405,Human Serv-Senior & Specia,71012,Office Supplies And Stationary,CHECK
ARCET EQUIPMENT COMPANY,663762,05/14/2015,3600.00,04062015-1,ACCT# B3388,3600.00,Industrial Supply,301,HUD Fund,3610,Economic & Comm Dev Projects/Grants,76320,Public Services,CHECK
Miscellaneous Vendor,662939,05/12/2015,9.06,1434834514-2549914,PP 2014 91235,9.06,PP 2014 91235,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
UNIVAR USA INC,130772,05/13/2015,8679.49,RI675915,Cust # 484278,5315.39,TO PURCHASE AQUA AMMONIA AT THE WATERPLANT,808,Water Operating Fund,92001,Water Operations,76110,Utility Chemicals,EFT
Miscellaneous Vendor,660966,05/06/2015,14.79,1439902114-2544356,PP 2014 284119,14.79,PP 2014 284119,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
RICHMOND BEHAVIORAL HEALTH AUT,129269,05/08/2015,2392.06,rbha 01-2015a-2,Collaborative Program,2392.06,Intensive Substance Use Disorder Treatment Services - MHASP,100,General Fund,1510,Juv Justice-Community Corrections,70161,Management Services,EFT
Miscellaneous Vendor,661718,05/06/2015,29.68,1331427213-2543254,VEHICLE SOLD,29.68,VEHICLE SOLD,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
